callsign,count,mean,std,min,max
EZY836,5,1673.0,420.6352339022493,1120.0,2147.0
TOM1PH,5,1098.6,149.498494975702,892.0,1286.0
EZY9004,5,2137.4,842.365300804823,1139.0,3295.0
EFW1FX,5,1455.6,604.0192877715082,1138.0,2529.0
EFW95P,5,1188.8,181.4364902658779,1035.0,1475.0
EJU8375,5,1845.4,436.6168801134469,1243.0,2444.0
EJU8469,5,1497.0,159.32670836994026,1289.0,1650.0
EZY17RN,5,1462.8,125.58343839854047,1311.0,1591.0
EZY46VW,5,1994.6,241.07529943982234,1695.0,2286.0
EZY6420,5,1623.2,417.97631511845265,1123.0,2239.0
EZY6590,5,1526.6,329.5698711957754,1255.0,2093.0
EZY8512,5,1772.2,275.0049090470932,1501.0,2127.0
EZY6582,5,1994.0,816.8684104554417,1030.0,3206.0
TOM1CD,5,1413.0,294.8957442894014,1175.0,1926.0
TOM1AL,5,1693.6,348.64709951468114,1197.0,2090.0
WMT6901,4,1597.5,445.00524341480144,1069.0,2153.0
EZY96RT,4,1858.0,155.83538323072418,1715.0,2080.0
EZY6502,4,1336.0,114.36199835026785,1201.0,1457.0
EZY6530,4,1794.5,388.49667523244864,1364.0,2227.0
TOM8BT,4,1252.75,117.95867920589822,1076.0,1316.0
EZY74EF,4,1427.25,77.6203366822553,1339.0,1502.0
EZY79WN,4,1645.5,396.4614314995428,1286.0,2110.0
EFW67I,4,1623.0,615.2435831982863,1188.0,2535.0
EJU18CB,4,1501.5,291.42694910846296,1231.0,1776.0
EJU8369,4,1342.0,168.72067646458353,1132.0,1532.0
EZY8140,4,1356.75,150.73016729683988,1264.0,1582.0
EZY9005,4,1358.0,243.89341934541818,1139.0,1687.0
EZY9002,4,2065.5,275.97644827050004,1782.0,2413.0
EZY898,4,2263.25,598.8173761673921,1630.0,3070.0
EJU8371,4,1448.25,261.78155651866183,1256.0,1834.0
EZY87FN,4,1640.25,499.93824618646653,1161.0,2097.0
TOM6EB,4,1702.25,573.3517681144796,1286.0,2524.0
EJU8458,4,1306.25,255.49478142093884,1084.0,1666.0
EZY8256,4,1653.5,366.1024446790816,1292.0,2154.0
EZY8580,4,2027.0,540.2332829435817,1248.0,2490.0
EJU8546,4,1551.5,297.5102239139578,1225.0,1884.0
EZY8368,4,1689.25,209.78302282755547,1420.0,1918.0
EZY854,4,2087.75,435.27950790268085,1444.0,2390.0
EZY8526,4,1568.75,441.7022941605201,1268.0,2224.0
VJT129K,4,1281.75,140.9311297525615,1085.0,1420.0
EZY9938,4,1791.5,605.982673019617,1166.0,2537.0
EZY9006,4,1929.25,576.5508795125255,1201.0,2583.0
EZY6398,4,1147.0,71.4282857137143,1075.0,1239.0
EZY6402,4,2152.25,188.62197645025358,1885.0,2321.0
EZY38QT,4,1917.75,639.9330043059196,1351.0,2800.0
EZY25AD,4,1509.25,263.09741541870005,1165.0,1779.0
EZY23JY,4,1754.0,617.6412119237727,1278.0,2653.0
EZY21CT,4,1426.5,157.97151641989134,1212.0,1561.0
BAW2274,4,1897.0,354.3002493178161,1464.0,2275.0
EZS8490,4,1588.0,193.03712941642428,1394.0,1827.0
